code,name,description,refreshed_at,from_date,to_date
1COV_X,Covestro AG (1COV_X),Stock Prices for Covestro AG (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006062144,2020-01-31 22:18:52,2015-10-06,2020-01-31
2HR_X,H&R (2HR_X),"Stock Prices for H&r Ag from the Frankfurt Stock Exchange. Trading System: Xetra. As a specialty chemicals player, H&R is active in the development and production of crude oil based chemical-pharmaceutical products and the manufacture of precision plastics parts. In their individual business areas the Group companies in Germany and Europe hold promising positions as market and/or technology leaders. The Group employs a workforce of more than 1,400 members of staff. For further information please visit the website www.hur.com.",2017-02-28 22:30:42,2000-01-03,2017-02-28
AAD_X,Amadeus FiRe AG (AAD_X),Stock Prices for Amadeus FiRe AG (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005093108,2020-01-31 22:18:52,2000-02-01,2020-01-31
AB1_X,Air Berlin Plc (AB1_X),Stock Prices for Air Berlin Plc (AB1) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: GB00B128C026,2019-06-25 22:37:05,2006-05-11,2019-06-25
ADS_X,Adidas (ADS_X),Stock Prices for Adidas (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A1EWWW0,2020-01-31 22:18:52,2000-01-03,2020-01-31
ADV_X,Adva Se (ADV_X),Stock Prices for Adva Se (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005103006,2020-01-31 22:18:52,2000-03-28,2020-01-31
AFX_X,Carl Zeiss Meditec (AFX_X),Stock Prices for Carl Zeiss Meditec (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005313704,2020-01-31 22:18:52,2000-06-07,2020-01-31
AIR_X,Airbus Group (eads N.v.) (AIR_X),Stock Prices for Airbus Group (eads N.v.) (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: NL0000235190,2020-01-31 22:18:52,2000-07-10,2020-01-31
AIXA_X,Aixtron Se (AIXA_X),Stock Prices for Aixtron Se (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A0WMPJ6,2020-01-31 22:18:52,2000-01-18,2020-01-31
ALV_X,Allianz Se (ALV_X),Stock Prices for Allianz Se (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0008404005,2020-01-31 22:18:52,2000-01-18,2020-01-31
